,pdb,chain,CATH Domain,Class Number,Architecture Number,Topology Number,Superfamily Number,S35 Number,S60 Number,S95 Number,S100 Number,S100 Count Number,Domain Length,Resolution
14613,4w8o,B,4w8oB00,3,40,50,12780,14,1,1,1,1,416,2.05
12460,1p91,B,1p91B00,3,40,50,150,272,1,1,1,1,251,2.8
4083,2n99,A,2n99A00,2,10,60,10,22,1,1,1,1,76,999.0
10250,2lqj,A,2lqjA00,3,30,70,260,48,1,1,1,1,94,999.0
13088,1f9a,A,1f9aA00,3,40,50,620,41,2,1,1,1,164,2.0
13052,3gx1,A,3gx1A00,3,40,50,510,7,2,1,1,1,118,2.3
11891,3cjs,B,3cjsB00,3,30,1550,10,1,1,1,1,1,72,1.37
6519,2lg7,A,2lg7A00,2,60,60,50,1,1,1,1,1,129,999.0
1848,3r9b,A,3r9bA00,1,10,630,10,27,2,1,1,1,391,1.89
615,1kx5,D,1kx5D00,1,10,20,10,27,1,1,1,1,122,1.94
5288,2nch,A,2nchA00,2,40,50,140,69,3,1,1,1,87,999.0
13168,1e7w,B,1e7wB00,3,40,50,720,68,2,1,1,1,258,1.75
4114,5e4g,A,5e4gA00,2,10,90,10,3,1,1,1,1,108,1.5
13208,5wqo,B,5wqoB00,3,40,50,720,136,1,1,1,1,220,1.78
6082,2e6j,A,2e6jA00,2,60,40,10,833,1,1,1,1,112,999.0
10670,2ena,A,2enaA00,3,30,160,60,47,4,1,1,1,46,999.0
8841,5ks7,A,5ks7A00,3,10,580,10,43,2,1,1,1,123,2.9
11540,1c44,A,1c44A00,3,30,1050,10,7,1,1,1,1,123,1.8
3899,2iqc,A,2iqcA00,1,25,40,490,1,1,1,1,1,173,2.4
3300,1z7c,A,1z7cA00,1,20,1250,10,21,1,1,1,1,161,2.0
7447,5dss,B,5dssB00,2,80,10,50,82,3,1,1,1,185,2.8
7136,5k31,C,5k31C00,2,60,120,1000,2,1,1,1,1,238,2.2
8086,2inc,C,2incC00,3,10,20,270,1,2,1,1,1,83,1.85
6428,2m83,A,2m83A00,2,60,40,2440,3,1,1,1,1,139,999.0
13594,2w7t,A,2w7tA00,3,40,50,880,57,1,1,1,1,263,2.1
15086,2qml,A,2qmlA00,3,40,630,30,46,1,1,1,1,184,1.55
12425,1eg2,A,1eg2A00,3,40,50,150,194,1,1,1,1,270,1.75
9967,2dsm,A,2dsmA00,3,30,40,30,1,1,1,1,1,72,999.0
1617,2mn4,A,2mn4A00,1,10,533,10,39,1,1,1,1,94,999.0
4015,5vyg,A,5vygA00,2,10,25,10,7,2,1,1,1,43,2.2
1131,1rso,B,1rsoB00,1,10,287,650,4,1,1,1,1,56,999.0
15646,4qbl,E,4qblE00,3,40,1350,10,5,1,1,1,1,123,2.0
14238,5ipf,C,5ipfC00,3,40,50,2020,18,3,1,1,1,186,2.8
9662,2plc,A,2plcA00,3,20,20,190,12,1,1,1,1,274,2.0
5170,1rjt,A,1rjtA00,2,40,50,40,46,1,1,1,1,73,999.0
3782,4cym,D,4cymD00,1,25,40,20,32,1,1,1,1,167,2.8
3884,4f53,A,4f53A00,1,25,40,390,12,2,1,1,1,481,2.25
13382,2d59,A,2d59A00,3,40,50,720,351,1,1,1,1,141,1.65
3997,3q7a,B,3q7aB00,1,50,10,20,26,1,1,1,1,485,2.0
1330,4mk6,A,4mk6A00,1,10,357,10,99,1,1,1,1,183,2.35
3929,4b0z,A,4b0zA00,1,25,40,990,1,1,1,1,1,227,1.58
11972,2fwg,A,2fwgA00,3,40,30,10,2,1,1,1,1,122,1.1
12035,6g62,A,6g62A00,3,40,30,10,44,1,1,1,1,115,1.5
14805,4jvc,A,4jvcA00,3,40,190,290,4,1,1,1,1,203,2.5
9450,1e4m,M,1e4mM00,3,20,20,80,159,3,1,1,1,499,1.2
7866,4ldg,A,4ldgA00,2,170,270,10,14,1,1,1,1,216,2.31
241,2v79,A,2v79A00,1,10,10,10,279,1,1,1,1,115,2.0
1916,4u9h,L,4u9hL00,1,10,645,10,1,1,1,1,1,533,0.89
13546,2lxn,A,2lxnA00,3,40,50,880,10,3,1,1,1,188,999.0
1406,4mi8,B,4mi8B00,1,10,437,10,12,1,1,1,1,136,2.1
15348,1k7h,A,1k7hA00,3,40,720,10,26,2,1,1,1,476,1.92
3921,4atg,A,4atgA00,1,25,40,770,1,1,1,1,1,195,1.89
16346,1iwd,A,1iwdA00,3,90,70,10,3,5,1,1,1,215,1.63
14081,3qvm,B,3qvmB00,3,40,50,1820,159,1,1,1,1,271,2.0
15680,1o1x,A,1o1xA00,3,40,1400,10,2,4,1,1,1,142,1.9
7527,4udg,B,4udgB00,2,115,10,20,16,1,1,1,1,321,1.6
1198,4gzr,C,4gzrC00,1,10,287,1060,21,1,1,1,1,61,2.55
8990,4x2r,A,4x2rA00,3,20,20,70,12,1,1,1,1,243,1.05
8039,1uel,A,1uelA00,3,10,20,90,121,1,1,1,1,95,999.0
6368,2f1e,A,2f1eA00,2,60,40,1470,1,4,1,1,1,116,999.0
15993,1te5,A,1te5A00,3,60,20,10,26,1,1,1,1,253,2.0
1738,1ps1,A,1ps1A00,1,10,600,10,20,2,1,1,1,304,2.6
4713,4b6m,B,4b6mB00,2,30,30,190,2,1,1,1,1,79,1.59
12352,1vl5,C,1vl5C00,3,40,50,150,68,1,1,1,1,208,1.95
6263,2l8a,A,2l8aA00,2,60,40,710,7,2,1,1,1,149,999.0
5432,3kff,A,3kffA00,2,40,128,20,1,1,1,1,1,152,0.96
12852,1qhx,A,1qhxA00,3,40,50,300,374,1,1,1,1,178,2.5
15520,3pzs,A,3pzsA00,3,40,1190,20,5,3,1,1,1,277,1.89
743,1sxe,A,1sxeA00,1,10,150,50,54,1,1,1,1,97,999.0
15782,1j3l,A,1j3lA00,3,50,30,40,2,6,1,1,1,163,2.3
3103,1jb0,K,1jb0K00,1,20,860,20,1,1,1,1,1,46,2.5
11217,3tek,A,3tekA00,3,30,470,50,1,1,1,1,1,139,2.0
11239,5kaz,A,5kazA00,3,30,505,10,16,1,1,1,1,103,1.7
17383,3hls,B,3hlsB00,6,10,250,780,1,1,1,1,1,61,2.15
8469,2rbb,A,2rbbA00,3,10,180,10,44,1,1,1,1,126,1.82
2603,3tso,C,3tsoC00,1,20,5,2440,1,1,1,1,1,54,1.8
2125,2kel,A,2kelA00,1,10,1220,10,21,1,1,1,1,46,999.0
9128,1vs1,D,1vs1D00,3,20,20,70,78,3,1,1,1,271,2.3
6750,2tnf,A,2tnfA00,2,60,120,40,7,1,1,1,1,148,1.4
9266,5csr,C,5csrC00,3,20,20,70,174,1,1,1,1,220,1.94
16562,5bx1,A,5bx1A00,3,90,190,10,41,1,1,1,1,153,1.9
3741,4bwr,A,4bwrA00,1,25,40,10,146,1,1,1,1,457,1.74
4241,5xog,M,5xogM00,2,20,25,190,1,1,1,1,1,64,3.0
7270,3mdx,A,3mdxA00,2,70,40,10,1,2,1,1,1,139,1.45
13352,3awd,A,3awdA00,3,40,50,720,287,2,1,1,1,257,1.8
385,3a02,A,3a02A00,1,10,10,60,1,1,1,1,1,51,1.0
11913,6az1,b,6az1b00,3,30,1740,20,1,1,1,1,1,103,2.7
8336,5v10,A,5v10A00,3,10,129,10,26,2,1,1,1,141,1.9
4314,1fgy,A,1fgyA00,2,30,29,30,9,1,1,1,1,125,1.5
237,3t8r,A,3t8rA00,1,10,10,10,271,1,1,1,1,122,1.7
16155,1sq1,A,1sq1A00,3,60,150,10,2,3,1,1,1,281,2.8
12033,3gix,A,3gixA00,3,40,30,10,39,1,1,1,1,141,1.33
1613,6n1h,A,6n1hA00,1,10,533,10,34,2,1,1,1,83,3.17
7297,5l2v,A,5l2vA00,2,70,50,50,1,2,1,1,1,166,1.1
12137,3hz4,A,3hz4A00,3,40,30,10,178,1,1,1,1,116,2.3
15740,4hyn,B,4hynB00,3,40,1550,10,8,1,1,1,1,186,2.5
1146,1xq8,A,1xq8A00,1,10,287,700,1,1,1,1,1,140,999.0
12158,5y63,E,5y63E00,3,40,30,10,212,2,1,1,1,165,2.87
3383,3ogh,B,3oghB00,1,20,1260,10,26,1,1,1,1,144,1.65
3490,5dik,A,5dikA00,1,20,1290,10,8,1,1,1,1,112,1.9
7526,5flw,A,5flwA00,2,115,10,20,14,1,1,1,1,302,1.4
9228,4d2j,A,4d2jA00,3,20,20,70,143,2,1,1,1,338,1.75
11883,4has,A,4hasA00,3,30,1520,10,16,1,1,1,1,104,1.74
6724,4qpi,A,4qpiA00,2,60,120,20,45,1,1,1,1,263,3.01
8754,4o3v,A,4o3vA00,3,10,450,230,3,1,1,1,1,138,1.95
6273,4bk8,A,4bk8A00,2,60,40,730,4,1,1,1,1,123,1.85
8058,2mx2,A,2mx2A00,3,10,20,90,143,1,1,1,1,81,999.0
17284,2gsv,B,2gsvB00,6,10,140,40,1,1,1,1,1,66,1.9
10771,3krn,A,3krnA00,3,30,230,70,19,1,1,1,1,183,3.92
7627,4j87,A,4j87A00,2,130,10,10,28,1,1,1,1,316,1.67
6592,4ofg,A,4ofgA00,2,60,120,10,68,1,1,1,1,142,2.0
15889,2qed,A,2qedA00,3,60,15,10,14,1,1,1,1,252,1.45
2378,2xv5,A,2xv5A00,1,20,5,170,29,1,1,1,1,53,2.4
12400,3g5t,A,3g5tA00,3,40,50,150,156,1,1,1,1,293,1.12
4828,2opg,A,2opgA00,2,30,42,10,29,1,1,1,1,98,1.5
9171,3s5o,A,3s5oA00,3,20,20,70,103,1,1,1,1,295,1.97
10679,2csv,A,2csvA00,3,30,160,60,72,1,1,1,1,72,999.0
10419,2mew,A,2mewA00,3,30,70,600,1,3,1,1,1,82,999.0
12547,4jlv,A,4jlvA00,3,40,50,300,16,2,1,1,1,228,2.2
12248,2fgx,A,2fgxA00,3,40,30,10,329,1,1,1,1,85,999.0
9410,1vjz,A,1vjzA00,3,20,20,80,80,2,1,1,1,320,2.05
12975,1ydg,A,1ydgA00,3,40,50,360,28,1,1,1,1,201,2.0
249,1q1h,A,1q1hA00,1,10,10,10,293,1,1,1,1,85,2.9
12482,2pwa,A,2pwaA00,3,40,50,200,2,1,1,1,1,279,0.83
5373,4hce,A,4hceA00,2,40,50,860,1,1,1,1,1,129,2.3
4451,2v1q,A,2v1qA00,2,30,30,40,14,1,1,1,1,60,1.2
1088,4jgs,E,4jgsE00,1,10,287,210,2,3,1,1,1,84,2.2
6801,2cws,A,2cwsA00,2,60,120,200,5,1,1,1,1,227,1.0
15693,4zsi,B,4zsiB00,3,40,1410,10,4,1,1,1,1,164,1.65
14078,4ao8,A,4ao8A00,3,40,50,1820,155,1,1,1,1,234,1.61
2052,2lol,A,2lolA00,1,10,1200,10,2,6,1,1,1,81,999.0
17359,3gn4,A,3gn4A00,6,10,220,10,1,1,1,1,1,129,2.7
17521,3sf4,D,3sf4D00,6,20,200,10,1,1,1,1,1,45,2.6
7537,3kst,A,3kstA00,2,115,10,20,25,1,1,1,1,287,1.7
7873,3ep0,A,3ep0A00,2,170,270,10,23,1,1,1,1,113,2.1
7147,3w9a,B,3w9aB00,2,60,120,1160,1,2,1,1,1,235,1.99
8041,1wju,A,1wjuA00,3,10,20,90,122,2,1,1,1,100,999.0
15194,4rn7,A,4rn7A00,3,40,630,40,2,2,1,1,1,185,1.72
2825,2g58,A,2g58A00,1,20,90,10,1,3,1,1,1,121,0.98
5864,5l8j,B,5l8jB00,2,60,40,10,76,2,1,1,1,105,1.68
14421,4w8h,A,4w8hA00,3,40,50,10140,1,1,1,1,1,127,1.14
11284,3tvq,A,3tvqA00,3,30,530,20,12,2,1,1,1,152,1.67
15810,2weu,A,2weuA00,3,50,50,60,198,1,1,1,1,494,1.7
4026,1gk5,A,1gk5A00,2,10,25,10,42,2,1,1,1,49,999.0
8818,2o16,B,2o16B00,3,10,580,10,15,1,1,1,1,135,1.9
1519,1col,A,1colA00,1,10,490,30,1,1,1,1,1,197,2.4
10591,5k91,B,5k91B00,3,30,70,3420,1,1,1,1,1,175,1.18
16275,3wpc,A,3wpcA00,3,80,10,10,93,1,1,1,1,747,1.6
8542,3qv0,A,3qv0A00,3,10,280,10,3,1,1,1,1,179,2.1
13903,5w8o,A,5w8oA00,3,40,50,1820,17,1,1,1,1,341,1.47
12064,3ph9,A,3ph9A00,3,40,30,10,70,1,1,1,1,133,1.83
13479,5b6k,A,5b6kA00,3,40,50,720,620,1,1,1,1,336,1.7
435,2dn0,A,2dn0A00,1,10,10,60,86,3,1,1,1,76,999.0
13458,4o1m,B,4o1mB00,3,40,50,720,558,3,1,1,1,296,2.0
753,1d8b,A,1d8bA00,1,10,150,80,15,1,1,1,1,81,999.0
8376,3e8p,A,3e8pA00,3,10,129,10,71,1,1,1,1,149,2.3
10719,2l6m,A,2l6mA00,3,30,160,400,1,1,1,1,1,101,999.0
9336,2whl,A,2whlA00,3,20,20,80,24,2,1,1,1,294,1.4
4109,1wq8,A,1wq8A00,2,10,90,10,1,2,1,1,1,99,1.9
852,2b1u,A,2b1uA00,1,10,238,10,58,3,1,1,1,71,999.0
15590,3cpk,A,3cpkA00,3,40,1230,10,3,1,1,1,1,115,2.5
16197,4gt6,A,4gt6A00,3,80,10,10,4,1,1,1,1,374,1.8
4357,4chm,B,4chmB00,2,30,29,30,58,1,1,1,1,124,2.1
17372,3eab,G,3eabG00,6,10,250,440,1,1,1,1,1,40,2.5
4181,4z42,B,4z42B00,2,10,150,10,1,2,1,1,1,114,3.01
6610,3es4,A,3es4A00,2,60,120,10,96,1,1,1,1,112,1.64
10708,4p78,A,4p78A00,3,30,160,250,3,1,1,1,1,86,2.12
11515,2c8m,B,2c8mB00,3,30,930,10,16,1,1,1,1,245,1.89
14230,4qri,A,4qriA00,3,40,50,2020,15,4,1,1,1,157,2.35
5904,3so5,B,3so5B00,2,60,40,10,138,1,1,1,1,101,1.7
4580,2rqr,A,2rqrA00,2,30,30,40,136,1,1,1,1,119,999.0
913,1tiz,A,1tizA00,1,10,238,10,160,1,1,1,1,67,999.0
2970,3u9j,A,3u9jA00,1,20,120,520,2,1,1,1,1,151,1.6
10701,3bf2,A,3bf2A00,3,30,160,150,5,1,1,1,1,122,2.6
2579,1txq,B,1txqB00,1,20,5,1430,3,1,1,1,1,64,1.8
16140,4ylm,X,4ylmX00,3,60,130,10,9,1,1,1,1,274,2.05
16256,4z79,A,4z79A00,3,80,10,10,61,2,1,1,1,173,1.54
9224,1h1y,A,1h1yA00,3,20,20,70,142,3,1,1,1,220,1.87
13563,1oi4,A,1oi4A00,3,40,50,880,24,3,1,1,1,192,2.03
6311,2k8q,A,2k8qA00,2,60,40,790,33,1,1,1,1,134,999.0
5021,1o9y,C,1o9yC00,2,30,330,10,3,1,1,1,1,72,2.29
3308,1f45,B,1f45B00,1,20,1250,10,28,1,1,1,1,133,2.8
9013,1f6k,C,1f6kC00,3,20,20,70,26,1,1,1,1,285,1.6
15153,2ae6,A,2ae6A00,3,40,630,30,126,1,1,1,1,144,2.19
2259,3ccg,A,3ccgA00,1,10,3210,10,9,1,1,1,1,184,1.5
17307,2pms,C,2pmsC00,6,10,140,920,1,1,1,1,1,109,2.91
13139,4x54,A,4x54A00,3,40,50,720,31,1,1,1,1,214,1.45
11471,3o30,I,3o30I00,3,30,860,10,4,1,1,1,1,121,1000.0
7254,3ld7,A,3ld7A00,2,60,320,10,1,1,1,1,1,85,1.55
12095,2h30,A,2h30A00,3,40,30,10,111,1,1,1,1,149,1.6
5186,4eqp,A,4eqpA00,2,40,50,90,1,1,1,1,1,129,1.35
1700,4lls,A,4llsA00,1,10,600,10,3,1,1,1,1,300,1.5
8724,4r1k,B,4r1kB00,3,10,450,50,98,1,1,1,1,132,2.56
827,1k8u,A,1k8uA00,1,10,238,10,4,1,1,1,1,87,1.15
10684,2lv2,A,2lv2A00,3,30,160,60,77,1,1,1,1,85,999.0
1219,3ajw,A,3ajwA00,1,10,287,1700,2,1,1,1,1,134,2.1
13711,2yn2,A,2yn2A00,3,40,50,1240,3,2,1,1,1,254,2.05
2331,3zdo,C,3zdoC00,1,20,5,110,21,1,1,1,1,63,2.07
16020,3icf,B,3icfB00,3,60,21,10,5,2,1,1,1,304,2.3
11955,3fg7,A,3fg7A00,3,40,20,10,7,2,1,1,1,106,2.0
15833,4ipu,B,4ipuB00,3,55,40,10,1,1,1,1,1,133,1.35
8356,3lbe,B,3lbeB00,3,10,129,10,48,1,1,1,1,124,1.7
13725,3it3,B,3it3B00,3,40,50,1240,21,1,1,1,1,335,1.5
1099,1mof,A,1mofA00,1,10,287,210,12,2,1,1,1,53,1.7
5299,2wg6,D,2wg6D00,2,40,50,140,107,1,1,1,1,87,2.5
11834,4g6t,A,4g6tA00,3,30,1460,10,1,1,1,1,1,128,1.56
709,1b4f,G,1b4fG00,1,10,150,50,6,1,1,1,1,72,1.95
11754,1vwx,U,1vwxU00,3,30,1360,210,1,1,1,1,1,99,1000.0
6628,3fjs,C,3fjsC00,2,60,120,10,138,1,1,1,1,105,1.9
2705,1nwm,X,1nwmX00,1,20,58,160,3,1,1,1,1,105,2.4
1591,2nz7,A,2nz7A00,1,10,533,10,9,1,1,1,1,93,1.9
9154,2pcq,A,2pcqA00,3,20,20,70,94,1,1,1,1,279,2.1
2115,2cpg,B,2cpgB00,1,10,1220,10,2,1,1,1,1,45,1.6
10729,1gk8,I,1gk8I00,3,30,190,10,1,1,1,1,1,125,1.4
14487,5cgz,A,5cgzA00,3,40,50,10320,6,1,1,1,1,240,2.1
5420,2poe,A,2poeA00,2,40,100,10,5,2,1,1,1,162,2.01
13412,4wuv,A,4wuvA00,3,40,50,720,413,1,1,1,1,277,1.55
8838,2p9m,B,2p9mB00,3,10,580,10,40,1,1,1,1,125,2.59
1083,4nkg,B,4nkgB00,1,10,287,160,6,1,1,1,1,66,2.9
1400,2ims,A,2imsA00,1,10,437,10,5,1,1,1,1,159,1.48
8120,2ppn,A,2ppnA00,3,10,50,40,3,1,1,1,1,107,0.92
17519,3ako,D,3akoD00,6,20,160,10,1,1,1,1,1,76,2.1
5062,4q63,A,4q63A00,2,40,10,430,1,1,1,1,1,92,1.95
464,2m8g,X,2m8gX00,1,10,10,60,157,1,1,1,1,70,999.0
12651,2ew1,A,2ew1A00,3,40,50,300,83,8,1,1,1,171,2.0
4506,2ege,A,2egeA00,2,30,30,40,59,3,1,1,1,75,999.0
2702,1wrd,A,1wrdA00,1,20,58,160,1,1,1,1,1,98,1.75
887,2hps,A,2hpsA00,1,10,238,10,123,1,1,1,1,179,1.72
7466,5t1x,D,5t1xD00,2,90,10,10,4,1,1,1,1,109,1.7
13115,1efv,B,1efvB00,3,40,50,620,87,1,1,1,1,252,2.1
1165,4w4k,A,4w4kA00,1,10,287,850,3,1,1,1,1,82,1.95
5255,5xv9,A,5xv9A00,2,40,50,140,30,3,1,1,1,68,999.0
3749,2kc7,A,2kc7A00,1,25,40,10,155,1,1,1,1,99,999.0
2244,4hh5,A,4hh5A00,1,10,1780,10,8,1,1,1,1,163,2.0
2193,2v7q,I,2v7qI00,1,10,1620,20,1,1,1,1,1,47,2.1
15849,4jg3,A,4jg3A00,3,60,10,10,5,2,1,1,1,262,1.8
15589,2fi9,A,2fi9A00,3,40,1230,10,2,1,1,1,1,118,1.8
14893,3b8z,A,3b8zA00,3,40,390,10,5,2,1,1,1,217,1.4
11438,4qtp,B,4qtpB00,3,30,750,24,5,1,1,1,1,117,1.9
16053,2p8e,A,2p8eA00,3,60,40,10,4,1,1,1,1,277,1.82
14140,3p2m,A,3p2mA00,3,40,50,1820,225,1,1,1,1,281,2.8
1609,2of5,H,2of5H00,1,10,533,10,30,1,1,1,1,100,3.2
14274,4h60,A,4h60A00,3,40,50,2300,36,4,1,1,1,120,1.66
12887,2if2,A,2if2A00,3,40,50,300,441,1,1,1,1,190,3.0
7936,1tyg,B,1tygB00,3,10,20,30,42,1,1,1,1,65,3.15
3480,4qnc,B,4qncB00,1,20,1280,290,1,2,1,1,1,82,2.39
9903,4p5o,B,4p5oB00,3,30,40,10,70,1,1,1,1,75,3.11
12365,1yb2,A,1yb2A00,3,40,50,150,98,1,1,1,1,219,2.01
8200,2ox9,A,2ox9A00,3,10,100,10,22,1,1,1,1,130,1.95
11027,3t50,A,3t50A00,3,30,450,20,4,4,1,1,1,115,1.64
9581,1m65,A,1m65A00,3,20,20,140,69,1,1,1,1,234,1.57
8320,5cpg,A,5cpgA00,3,10,129,10,16,2,1,1,1,155,1.69
4763,4p5n,A,4p5nA00,2,30,30,1060,1,1,1,1,1,74,1.49
1229,2l0y,A,2l0yA00,1,10,287,2900,2,1,1,1,1,60,999.0
2965,2yqy,A,2yqyA00,1,20,120,450,16,1,1,1,1,127,2.0
14674,3ge5,A,3ge5A00,3,40,109,10,20,2,1,1,1,171,1.7
13261,4z0t,A,4z0tA00,3,40,50,720,180,1,1,1,1,244,1.5
2775,4kp3,C,4kp3C00,1,20,58,1770,1,1,1,1,1,81,2.41
14118,4qla,B,4qlaB00,3,40,50,1820,198,1,1,1,1,380,2.3
5371,3nsw,A,3nswA00,2,40,50,780,1,1,1,1,1,106,1.75
7818,3lyw,A,3lywA00,2,170,120,30,2,1,1,1,1,84,1.9
10695,2gpi,A,2gpiA00,3,30,160,140,1,1,1,1,1,89,1.6
7024,3t30,C,3t30C00,2,60,120,340,3,1,1,1,1,95,1.9
16429,4kyx,A,4kyxA00,3,90,79,10,17,3,1,1,1,139,1.8
17255,1fi8,D,1fi8D00,4,10,1230,10,1,1,1,1,1,48,2.2
2498,2o1k,A,2o1kA00,1,20,5,430,1,1,1,1,1,43,1.67
4271,5o60,c,5o60c00,2,20,28,120,3,1,1,1,1,49,3.2
8903,4us5,C,4us5C00,3,20,20,30,8,1,1,1,1,326,1.8
15053,3pp9,B,3pp9B00,3,40,630,30,19,1,1,1,1,169,1.6
2655,3lg7,A,3lg7A00,1,20,58,70,3,2,1,1,1,123,2.5
4306,1egx,A,1egxA00,2,30,29,30,2,2,1,1,1,115,999.0
8543,1dm9,A,1dm9A00,3,10,290,10,1,1,1,1,1,104,2.0
5726,5cuw,A,5cuwA00,2,40,260,10,5,1,1,1,1,162,1.89
7780,4yc5,A,4yc5A00,2,160,20,80,3,2,1,1,1,215,1.76
15146,1yre,C,1yreC00,3,40,630,30,113,1,1,1,1,182,2.15
7639,4xyh,A,4xyhA00,2,130,10,10,40,2,1,1,1,375,2.3
17443,3r45,C,3r45C00,6,10,250,2320,1,1,1,1,1,61,2.6
7543,4h53,A,4h53A00,2,120,10,10,4,3,1,1,1,388,1.5
16927,1vq8,J,1vq8J00,3,90,1180,10,1,2,1,1,1,142,2.2
11107,5hl6,B,5hl6B00,3,30,450,40,1,4,1,1,1,161,1.85
6529,3exv,A,3exvA00,2,60,90,10,3,2,1,1,1,197,1.45
10534,2w7a,B,2w7aB00,3,30,70,1820,1,1,1,1,1,96,1.4
4090,2mhy,A,2mhyA00,2,10,60,10,27,1,1,1,1,57,999.0
8889,2yci,X,2yciX00,3,20,20,20,7,1,1,1,1,271,1.78
244,4g6d,A,4g6dA00,1,10,10,10,282,1,1,1,1,62,2.0
817,2pvb,A,2pvbA00,1,10,238,10,2,1,1,1,1,107,0.91
6034,4ole,C,4oleC00,2,60,40,10,611,1,1,1,1,115,2.52
3296,3piv,A,3pivA00,1,20,1250,10,17,1,1,1,1,156,2.09
6983,2w87,A,2w87A00,2,60,120,260,69,1,1,1,1,139,1.6
11278,3q64,A,3q64A00,3,30,530,20,10,1,1,1,1,152,1.5
16631,2b3h,A,2b3hA00,3,90,230,10,4,1,1,1,1,304,1.1
6356,2lll,A,2lllA00,2,60,40,1260,1,3,1,1,1,121,999.0
11333,2lio,A,2lioA00,3,30,530,20,64,1,1,1,1,136,999.0
16668,4ic1,D,4ic1D00,3,90,320,10,5,1,1,1,1,203,2.35
12368,2esr,A,2esrA00,3,40,50,150,102,2,1,1,1,155,1.8
12597,2j0v,B,2j0vB00,3,40,50,300,42,2,1,1,1,184,1.78
12615,4q7l,C,4q7lC00,3,40,50,300,55,8,1,1,1,239,2.35
14773,5i7i,A,5i7iA00,3,40,190,170,14,1,1,1,1,318,1.3
7644,4zoy,A,4zoyA00,2,130,10,10,45,1,1,1,1,406,1.5
13638,1xpj,A,1xpjA00,3,40,50,1000,122,1,1,1,1,124,2.3
15611,3l8u,A,3l8uA00,3,40,1280,10,7,2,1,1,1,154,2.0
4074,2h62,D,2h62D00,2,10,60,10,12,2,1,1,1,93,1.85
11342,4duh,A,4duhA00,3,30,565,10,1,3,1,1,1,195,1.5
5535,2x55,A,2x55A00,2,40,128,90,1,1,1,1,1,274,1.85
9774,4aog,A,4aogA00,3,20,120,10,3,1,1,1,1,80,999.0
11544,4zy7,A,4zy7A00,3,30,1050,40,1,1,1,1,1,119,1.7
16649,1fux,A,1fuxA00,3,90,280,10,1,2,1,1,1,164,1.81
2178,1i5j,A,1i5jA00,1,10,1440,10,1,1,1,1,1,67,999.0
17061,1e9t,A,1e9tA00,4,10,110,10,4,2,1,1,1,59,999.0
16181,2jer,B,2jerB00,3,75,10,10,1,2,1,1,1,363,1.65
5666,4n75,B,4n75B00,2,40,160,50,2,1,1,1,1,370,2.6
1410,1k3k,A,1k3kA00,1,10,437,10,18,1,1,1,1,146,999.0
11435,1h4x,A,1h4xA00,3,30,750,24,1,1,1,1,1,110,1.16
15406,2kin,A,2kinA00,3,40,850,10,10,1,1,1,1,238,2.0
7351,2v3i,A,2v3iA00,2,70,100,10,1,1,1,1,1,433,1.05
12680,1wcv,1,1wcv100,3,40,50,300,113,1,1,1,1,244,1.6
514,5ygh,A,5yghA00,1,10,10,930,1,1,1,1,1,73,1.88
4909,1mkc,A,1mkcA00,2,30,90,10,1,1,1,1,1,43,999.0
8664,1jkg,A,1jkgA00,3,10,450,50,47,1,1,1,1,139,1.9
1710,5i1u,A,5i1uA00,1,10,600,10,4,1,1,1,1,300,1.5
12664,1vec,A,1vecA00,3,40,50,300,99,1,1,1,1,206,2.01
13290,3pxx,D,3pxxD00,3,40,50,720,209,8,1,1,1,273,2.0
16110,2e11,A,2e11A00,3,60,110,10,10,1,1,1,1,265,1.73
14889,1yp1,A,1yp1A00,3,40,390,10,2,5,1,1,1,199,1.9
3701,3ffl,A,3fflA00,1,25,40,10,78,1,1,1,1,126,2.5
6807,5zqi,A,5zqiA00,2,60,120,200,10,2,1,1,1,216,1.5
1006,3f51,C,3f51C00,1,10,260,40,49,1,1,1,1,90,2.05
11758,4m1x,D,4m1xD00,3,30,1360,240,1,1,1,1,1,72,1.3
1969,4o1w,A,4o1wA00,1,10,760,10,24,3,1,1,1,79,2.0
17046,2m2f,A,2m2fA00,4,10,70,30,1,1,1,1,1,62,999.0
9552,3neh,A,3nehA00,3,20,20,140,23,1,1,1,1,309,1.64
4259,6gmh,L,6gmhL00,2,20,28,30,2,1,1,1,1,46,3.1
10999,4lkb,E,4lkbE00,3,30,429,10,18,2,1,1,1,118,2.16
1782,6qrz,A,6qrzA00,1,10,620,20,6,2,1,1,1,274,3.0
157,1pue,F,1pueF00,1,10,10,10,77,1,1,1,1,89,2.1
6477,5mkd,D,5mkdD00,2,60,40,3490,1,2,1,1,1,122,2.51
10902,1kcf,B,1kcfB00,3,30,420,10,63,1,1,1,1,228,2.3
12123,1xvq,A,1xvqA00,3,40,30,10,165,2,1,1,1,159,1.75
2904,2lqg,A,2lqgA00,1,20,120,230,16,1,1,1,1,138,999.0
1659,1nq7,A,1nq7A00,1,10,565,10,7,1,1,1,1,244,1.5
14968,1ui0,A,1ui0A00,3,40,470,10,7,1,1,1,1,192,1.5
511,1x4o,A,1x4oA00,1,10,10,790,5,1,1,1,1,78,999.0
11223,1lkk,A,1lkkA00,3,30,505,10,2,1,1,1,1,105,1.0
16868,4jhc,B,4jhcB00,3,90,950,10,6,1,1,1,1,182,1.85
